Model,scenario,region,riverBasin,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
GCAM,CORN1BG,Africa_Eastern,AfrIntN,LandUse|Crops|EnergyCrops,Mha,0,0,2.75E-04,5.24E-04,8.72E-04,0.001225543,0.001353155,0.001479083,0.001593517,0.001721191,0.00184366
GCAM,CORN1BG,Africa_Eastern,AfrIntN,LandUse|Crops|OtherCrops,Mha,2.02E-06,1.94E-06,2.21E-06,2.51E-06,2.88E-06,3.26E-06,3.67E-06,4.10E-06,4.54E-06,5.07E-06,5.59E-06
GCAM,CORN1BG,Africa_Eastern,AfrIntN,LandUse|Crops|OtherGrains,Mha,2.61E-05,2.44E-05,2.66E-05,2.92E-05,3.14E-05,3.21E-05,3.24E-05,3.26E-05,3.24E-05,3.36E-05,3.46E-05
GCAM,CORN1BG,Africa_Eastern,AfrIntN,LandUse|Crops|OtherOilCrops,Mha,1.23E-05,1.26E-05,1.37E-05,1.56E-05,1.76E-05,1.80E-05,1.84E-05,1.87E-05,1.89E-05,2.05E-05,2.21E-05
GCAM,CORN1BG,Africa_Eastern,AfrIntN,LandUse|Crops|Total,Mha,4.05E-05,3.90E-05,3.18E-04,5.71E-04,9.24E-04,0.001278887,0.001407661,0.001534484,0.001649425,0.001780403,0.001905956
GCAM,CORN1BG,Africa_Eastern,CongoR,LandCover|Cropland,Mha,0.721480198,0.7937601,0.83509995,0.886135264,0.934670314,0.982137523,1.017283761,1.050967645,1.080087397,1.116244973,1.14949582
GCAM,CORN1BG,Africa_Eastern,CongoR,LandCover|Forest|Managed,Mha,0.0665154,0.046672,0.0479065,0.0482849,0.0483649,0.0481635,0.0479871,0.0475814,0.0471042,0.0460322,0.0448091
GCAM,CORN1BG,Africa_Eastern,CongoR,LandCover|Forest|Total,Mha,0.0665154,0.046672,0.0479065,0.0482849,0.0483649,0.0481635,0.0479871,0.0475814,0.0471042,0.0460322,0.0448091
GCAM,CORN1BG,Africa_Eastern,CongoR,LandCover|Forest|Unmanaged,Mha,0,0,0,0,0,0,0,0,0,0,0
GCAM,CORN1BG,Africa_Eastern,CongoR,LandCover|Grassland,Mha,0.590052406,0.50870588,0.492171468,0.471688963,0.451606234,0.431471434,0.416061979,0.401059683,0.387831775,0.371425777,0.356115327
GCAM,CORN1BG,Africa_Eastern,CongoR,LandCover|OtherArable,Mha,0.04416018,0.07066999,0.06614279,0.060832269,0.055951348,0.051342344,0.047997994,0.044875759,0.04222825,0.039063829,0.036232531
GCAM,CORN1BG,Africa_Eastern,CongoR,LandCover|OtherNotArable,Mha,0.01508776,0.017255,0.017255,0.017255,0.017255,0.017255,0.017255,0.017255,0.017255,0.017255,0.017255
GCAM,CORN1BG,Africa_Eastern,CongoR,LandCover|Pasture|Managed,Mha,0.007091128,0.00679207,0.007521192,0.008085608,0.008851731,0.009596418,0.010493044,0.011386607,0.012318443,0.013069549,0.013757747
GCAM,CORN1BG,Africa_Eastern,CongoR,LandCover|Pasture|Total,Mha,0.373630008,0.37377398,0.352261571,0.32664245,0.302989966,0.28046753,0.264252336,0.249098788,0.236331514,0.22081561,0.206928802
GCAM,CORN1BG,Africa_Eastern,CongoR,LandCover|Pasture|Unmanaged,Mha,0.36653888,0.36698191,0.344740379,0.318556842,0.294138235,0.270871112,0.253759292,0.237712181,0.224013071,0.207746061,0.193171055
GCAM,CORN1BG,Africa_Eastern,CongoR,LandCover|Shrubland,Mha,0,0,0,0,0,0,0,0,0,0,0
GCAM,CORN1BG,Africa_Eastern,CongoR,LandCover|Total,Mha,1.810925951,1.81083695,1.810837279,1.810838845,1.810837762,1.810837331,1.81083817,1.810838275,1.810838136,1.810837389,1.810836581
GCAM,CORN1BG,Africa_Eastern,CongoR,LandUse|Crops|Corn,Mha,0.08991828,0.10163852,0.105851365,0.114816134,0.121083576,0.131252526,0.140008782,0.147311425,0.153522151,0.1533882,0.153480669
GCAM,CORN1BG,Africa_Eastern,CongoR,LandUse|Crops|EnergyCrops,Mha,0,0,0.010318037,0.018353573,0.028696203,0.037821461,0.039809852,0.04155263,0.043068772,0.044110859,0.044954296
GCAM,CORN1BG,Africa_Eastern,CongoR,LandUse|Crops|OtherCrops,Mha,0.541842549,0.60771128,0.632385484,0.664648314,0.695338009,0.723455875,0.747186967,0.77159504,0.792780614,0.827991319,0.860606829
GCAM,CORN1BG,Africa_Eastern,CongoR,LandUse|Crops|OtherGrains,Mha,0.03931184,0.03120584,0.033918555,0.035576717,0.036623222,0.035442162,0.034464092,0.033249902,0.032100304,0.031533175,0.030881243
GCAM,CORN1BG,Africa_Eastern,CongoR,LandUse|Crops|OtherOilCrops,Mha,0.01193406,0.0154584,0.015700866,0.015417485,0.015250417,0.016216168,0.017256437,0.018262955,0.019166683,0.019802395,0.020341291
GCAM,CORN1BG,Africa_Eastern,CongoR,LandUse|Crops|PalmFruit,Mha,0.0023432,0.0033449,0.00355148,0.0036337,0.00370938,0.00372372,0.00375798,0.00377146,0.00377942,0.00384043,0.00387858
GCAM,CORN1BG,Africa_Eastern,CongoR,LandUse|Crops|Rice,Mha,0.01770464,0.02198784,0.021221676,0.020564402,0.019885837,0.019786157,0.01978882,0.019701274,0.019653158,0.019587842,0.019434018
GCAM,CORN1BG,Africa_Eastern,CongoR,LandUse|Crops|Soybean,Mha,0.00796828,0.00620092,0.005467366,0.005924547,0.006477397,0.005901746,0.005532358,0.005237446,0.005005958,0.005262817,0.005499913
GCAM,CORN1BG,Africa_Eastern,CongoR,LandUse|Crops|SugarCrops,Mha,0.001319088,0.00175864,0.001777182,0.001773895,0.001768925,0.001670985,0.00159606,0.001518885,0.001445983,0.00146376,0.001473472
GCAM,CORN1BG,Africa_Eastern,CongoR,LandUse|Crops|Total,Mha,0.721480198,0.7937601,0.83509995,0.886135264,0.934670314,0.982137523,1.017283761,1.050967645,1.080087397,1.116244973,1.14949582
GCAM,CORN1BG,Africa_Eastern,CongoR,LandUse|Crops|Wheat,Mha,0.00913826,0.00445376,0.004907939,0.005426497,0.005837347,0.006866721,0.007882414,0.008766628,0.009564354,0.009264177,0.008945508
GCAM,CORN1BG,Africa_Eastern,LChad,LandCover|Cropland,Mha,0.701540087,0.67735732,0.787127897,0.901418691,1.02982715,1.121626896,1.171122385,1.216928375,1.256802665,1.337287581,1.413103414
GCAM,CORN1BG,Africa_Eastern,LChad,LandCover|Grassland,Mha,1.220878,0.651669,0.649681,0.647352,0.644318,0.641561,0.639386,0.637143,0.634913,0.631683,0.62843
GCAM,CORN1BG,Africa_Eastern,LChad,LandCover|OtherArable,Mha,0.561916,1.11555,1.08334,1.04973,1.0113,0.981652,0.962351,0.943504,0.925825,0.897397,0.87013
GCAM,CORN1BG,Africa_Eastern,LChad,LandCover|OtherNotArable,Mha,0.2183183,0.219037,0.219037,0.219037,0.219037,0.219037,0.219037,0.219037,0.219037,0.219037,0.219037
GCAM,CORN1BG,Africa_Eastern,LChad,LandCover|Pasture|Managed,Mha,0.135069,0.130276,0.148357,0.166495,0.189091,0.215361,0.245908,0.278736,0.313301,0.346251,0.378905
GCAM,CORN1BG,Africa_Eastern,LChad,LandCover|Pasture|Total,Mha,7.116739,7.169246,7.093847,7.015695,6.929021,6.869861,6.842028,6.817506,6.797731,6.749191,6.704175
GCAM,CORN1BG,Africa_Eastern,LChad,LandCover|Pasture|Unmanaged,Mha,6.98167,7.03897,6.94549,6.8492,6.73993,6.6545,6.59612,6.53877,6.48443,6.40294,6.32527
GCAM,CORN1BG,Africa_Eastern,LChad,LandCover|Shrubland,Mha,0.0704606,0.0564981,0.0563257,0.0561237,0.0558607,0.0556216,0.0554331,0.0552387,0.0550454,0.0547653,0.0544833
GCAM,CORN1BG,Africa_Eastern,LChad,LandCover|Total,Mha,9.889851987,9.88935742,9.889358597,9.889356391,9.88936385,9.889359496,9.889357485,9.889357075,9.889354065,9.889360881,9.889358714
GCAM,CORN1BG,Africa_Eastern,LChad,LandUse|Crops|Corn,Mha,0.002185012,0.00196462,0.001793148,0.001805889,0.001798759,0.001901284,0.001993586,0.002079674,0.00215676,0.002243553,0.002332855
GCAM,CORN1BG,Africa_Eastern,LChad,LandUse|Crops|EnergyCrops,Mha,0,0,0.05640806,0.105705619,0.173095087,0.24130992,0.26634967,0.29152067,0.31507527,0.33810584,0.36018232
GCAM,CORN1BG,Africa_Eastern,LChad,LandUse|Crops|OtherCrops,Mha,0.099621412,0.0981021,0.109012417,0.116679778,0.126791897,0.138540576,0.151592702,0.165135467,0.17819631,0.199339076,0.219651807
GCAM,CORN1BG,Africa_Eastern,LChad,LandUse|Crops|OtherGrains,Mha,0.398293682,0.37190558,0.400279189,0.432235054,0.456888358,0.463867721,0.469806043,0.471826088,0.471482972,0.485422957,0.496471756
GCAM,CORN1BG,Africa_Eastern,LChad,LandUse|Crops|OtherOilCrops,Mha,0.19475154,0.198983,0.21302678,0.23817917,0.26427994,0.26890245,0.27411518,0.27896347,0.28237783,0.30424205,0.32614884
GCAM,CORN1BG,Africa_Eastern,LChad,LandUse|Crops|Rice,Mha,4.80E-04,4.77E-04,4.31E-04,4.07E-04,3.79E-04,3.51E-04,3.27E-04,3.07E-04,2.90E-04,3.00E-04,3.09E-04
GCAM,CORN1BG,Africa_Eastern,LChad,LandUse|Crops|SugarCrops,Mha,0.00505882,0.0049866,0.00524992,0.00549349,0.00571069,0.00590202,0.00611399,0.00630154,0.00646042,0.00686444,0.00723455
GCAM,CORN1BG,Africa_Eastern,LChad,LandUse|Crops|Total,Mha,0.701540087,0.67735732,0.787127897,0.901418691,1.02982715,1.121626896,1.171122385,1.216928375,1.256802665,1.337287581,1.413103414
GCAM,CORN1BG,Africa_Eastern,LChad,LandUse|Crops|Wheat,Mha,0.001149478,9.39E-04,9.28E-04,9.13E-04,8.84E-04,8.52E-04,8.24E-04,7.94E-04,7.63E-04,7.70E-04,7.72E-04
GCAM,CORN1BG,Africa_Eastern,Madagascar,LandCover|Cropland,Mha,3.469541556,2.70021092,2.79143226,2.918284936,3.055301347,3.261206173,3.43208336,3.588320246,3.741342671,4.005523175,4.257318129
